Completed Date;Reference;Paid Out (CHF);Paid In (CHF);Exchange Out;Exchange In; Balance (CHF);Category
2018 March 20;Exchanged from GBP;; 62.26;;GBP 46.64; 831.67;general
2018 March 20;Blue  Gold Fleet 2;66.98;;USD 70.00;; 769.41;transport
2018 March 19;Icebreaker San Fran;731.13;;USD 763.84;; 836.39;shopping
2018 March 19;Uniguest;3.36;;USD 3.50;; 1'567.52;services
2018 March 19;Uber;7.62;;USD 7.96;; 1'570.88;transport
2018 March 19;Presidio - The Commiss;103.38;;USD 108.00;; 1'578.50;restaurants
2018 March 19;Sports Basement;124.63;;USD 130.20;; 1'681.88;shopping
2018 March 19;Walgreens;2.84;;USD 2.96;; 1'806.51;health
2018 March 19;Uber;10.21;;USD 10.66;; 1'809.35;transport
2018 March 19;Uber;7.42;;USD 7.75;; 1'819.56;transport
2018 March 19;Uber;18.44;;USD 19.26;; 1'826.98;transport
2018 March 19;Gnc #01569;3.16;;USD 3.30;; 1'845.42;groceries
2018 March 19;Apple;82.01;;USD 85.67;; 1'848.58;shopping
2018 March 19;Gap Us 9604;47.15;;USD 49.25;; 1'930.59;shopping
2018 March 19;The Ups Store #6431;3.40;;USD 3.55;; 1'977.74;services
2018 March 19;Squ*sq *parkwide Inc;27.76;;USD 29.00;; 1'981.14;shopping
2018 March 19;Nike San Fran 086;248.22;;USD 259.32;; 2'008.90;shopping
2018 March 19;Mc Donald's;13.30;;;; 2'257.12;restaurants
2018 March 19;Boutique Jf3;12.90;;;; 2'270.42;shopping
2018 March 16;Aim? Pouly Sa;8.30;;;; 2'283.32;groceries
2018 March 16;Sbb Cff Ffs Mobile Tic;4.50;;;; 2'291.62;transport
2018 March 16;Sbb Cff Ffs Mobile Tic;4.50;;;; 2'296.12;transport
2018 March 16;Boucherie-espace Molar;16.50;;;; 2'300.62;groceries
2018 March 16;Migros Mmm Nyon La Com;17.00;;;; 2'317.12;groceries
2018 March 15;Restaurant Mekong;41.00;;;; 2'334.12;restaurants
2018 March 15;Sbb Cff Ffs Mobile Tic;7.70;;;; 2'375.12;transport
2018 March 15;Dixons;197.14;;GBP 149.00;; 2'382.82;shopping
2018 March 13;Montreux Jazz Shop;34.80;;;; 2'579.96;restaurants
2018 March 13;Starbucks;9.70;;;; 2'614.76;restaurants
2018 March 13;Sbb Cff Ffs Mobile Tic;1.80;;;; 2'624.46;transport
2018 March 13;Easyjetetrw2r9;142.99;;;; 2'626.26;travel
2018 March 12;Ikea Schweiz;99.80;;;; 2'769.25;utilities
2018 March 12;Brasserie Le Bec;103.70;;;; 2'869.05;restaurants
2018 March 12;Coop-1281 Verbier;37.20;;;; 2'972.75;groceries
2018 March 12;Ikea Sa Aubonne;338.45;;;; 3'009.95;utilities
2018 March 12;Restaurant Le Rouge;80.00;;;; 3'348.40;restaurants
2018 March 12;Green Gorilla;16.90;;;; 3'428.40;restaurants
2018 March 12;Sbb Cff Ffs Mobile Tic;4.50;;;; 3'445.30;transport
2018 March 12;Sbb Cff Ffs Mobile Tic;4.50;;;; 3'449.80;transport
2018 March 12;Migros M Fusterie;6.05;;;; 3'454.30;groceries
2018 March 12;Ikea Sa Aubonne;11.90;;;; 3'460.35;utilities
2018 March 9;To Andrew Terrett;1.00;;;; 3'472.25;transfers
2018 March 9;Grand Cafe Real Sa;110.50;;;; 3'473.25;restaurants
2018 March 9;Grand Cafe Real Sa;22.80;;;; 3'583.75;restaurants
2018 March 9;Sbb Cff Ffs Mobile Tic;4.50;;;; 3'606.55;transport
2018 March 9;Sbb Cff Ffs Mobile Tic;4.50;;;; 3'611.05;transport
2018 March 9;Ikea Schweiz;79.90;;;; 3'615.55;utilities
2018 March 9;Globus Gastro Gen?ve;13.00;;;; 3'695.45;groceries
2018 March 9;Migros Mmm Nyon La Com;17.90;;;; 3'708.45;groceries
2018 March 9;Starbucks Coffe;11.30;;;; 3'726.35;restaurants
2018 March 8;Schweiz. Bundesbahn;4.50;;;; 3'737.65;transport
2018 March 8;Apple Store R275;98.25;;;; 3'742.15;shopping
2018 March 8;Globus Gastro Gen?ve;11.00;;;; 3'840.40;groceries
2018 March 7;Boucherie-espace Molar;11.80;;;; 3'851.40;groceries
2018 March 6;Green Gorilla;21.80;;;; 3'863.20;restaurants
2018 March 6;Parking Villereuse;14.00;;;; 3'885.00;transport
2018 March 6;Migros M Fusterie;6.70;;;; 3'899.00;groceries
2018 March 6;Manor Ag - 315;94.70;;;; 3'905.70;shopping
2018 March 5;Schweiz. Bundesbahn;4.50;;;; 4'000.40;transport
2018 March 2;Top-up via transfer;; 4'000.00;;; 4'004.90;general
2018 March 2;Globus Gastro Gen?ve;17.50;;;; 4.90;groceries
2018 February 28;Globus Gastro Gen?ve;23.50;;;; 22.40;groceries
2018 February 27;Green Gorilla;19.90;;;; 45.90;restaurants
2018 February 27;Migros M Fusterie;12.25;;;; 65.80;groceries
2018 February 27;Parking Gare De Nyon;3.00;;;; 78.05;transport
2018 February 26;Mountain-air Hardware;38.40;;;; 81.05;shopping
2018 February 26;Coop-1281 Verbier;32.15;;;; 119.45;groceries
2018 February 26;Coop-1281 Verbier;61.55;;;; 151.60;groceries
2018 February 26;Restaurant Luigia Nyon;78.00;;;; 213.15;restaurants
2018 February 26;Igloo Du Mont Fort;20.10;;;; 291.15;restaurants
2018 February 26;Restaurant Croix-de-co;193.60;;;; 311.25;restaurants
2018 February 26;T?l?verbier Sa;54.00;;;; 504.85;transport
2018 February 26;W Verbier  Residences;39.00;;;; 558.85;travel
2018 February 26;W Verbier  Residences;11.00;;;; 597.85;travel
2018 February 25;To Charlotte Tengelin;1'045.00;;;; 608.85;transfers
2018 February 25;From Charlotte Tengelin;; 600.00;;; 1'653.85;transfers
2018 February 23;Restaurant Carlsberg;51.00;;;; 1'053.85;restaurants
2018 February 23;Mountain-air Sa;31.50;;;; 1'104.85;shopping
2018 February 22;Food Court Noville;31.70;;;; 1'136.35;restaurants
2018 February 22;Wh Smith;9.08;;SEK 78.00;; 1'168.05;restaurants
2018 February 21;Geneve-aeroport Cff;15.40;;;; 1'177.13;transport
2018 February 21;Coop-1281 Verbier;140.50;;;; 1'192.53;groceries
2018 February 21;Ikea Sa Aubonne;44.49;;;; 1'333.03;utilities
2018 February 21;Sibylla Drive;7.10;;SEK 61.00;; 1'377.52;restaurants
2018 February 20;Exchanged to BTC;100.00;;BTC  0.00915656;; 1'384.62;general
2018 February 20;Sky Cafe;15.48;;SEK 133.00;; 1'484.62;restaurants
2018 February 20;Ica Supermarket Tunaba;5.50;;SEK 47.30;; 1'500.10;groceries
2018 February 19;Uppsala Konsert  Kong;29.40;;SEK 251.00;; 1'505.60;entertainment
2018 February 19;Wh Smith;8.02;;SEK 69.00;; 1'535.00;restaurants
2018 February 19;World Of Toys Terminal;54.38;;SEK 468.00;; 1'543.02;shopping
2018 February 16;Mc Donald's;11.50;;;; 1'597.40;restaurants
2018 February 16;Interdiscount-3584 Ge;8.85;;;; 1'608.90;shopping
2018 February 16;H  M;115.70;;;; 1'617.75;shopping
2018 February 16;H  M;12.95;;;; 1'733.45;shopping
2018 February 16;Boucherie-espace Molar;16.50;;;; 1'746.40;groceries
2018 February 16;Cafe Des Arts;89.50;;;; 1'762.90;restaurants
2018 February 15;Brin De Folie;52.00;;;; 1'852.40;shopping
2018 February 15;Grand Cafe Real Sa;22.80;;;; 1'904.40;restaurants
2018 February 14;Exchanged to BTC;100.00;;BTC  0.01137084;; 1'927.20;general
2018 February 14;Vino Olio Caffe;80.00;;;; 2'027.20;restaurants
2018 February 14;Pharmacie Principale *;53.20;;;; 2'107.20;health
2018 February 13;Grand Cafe Real Sa;49.50;;;; 2'160.40;restaurants
2018 February 13;Migros Mmm Nyon La Com;20.95;;;; 2'209.90;groceries
2018 February 12;Coop Pronto Nyon;49.00;;;; 2'230.85;transport
2018 February 12;Joutec;35.90;;;; 2'279.85;shopping
2018 February 12;Quai 23 Sarl;20.00;;;; 2'315.75;restaurants
2018 February 12;Easyjet;407.43;;;; 2'335.75;travel
2018 February 12;Globus Gastro Gen?ve;8.80;;;; 2'743.18;groceries
2018 February 12;Globus Gastro Gen?ve;46.50;;;; 2'751.98;groceries
2018 February 9;Boucherie-espace Molar;16.50;;;; 2'798.48;groceries
2018 February 8;To Göran Tengelin;1.00;;;; 2'814.98;transfers
2018 February 8;Restaurant Mekong;41.00;;;; 2'815.98;restaurants
2018 February 8;Grand Cafe Real Sa;38.00;;;; 2'856.98;restaurants
2018 February 7;Green Gorilla;19.90;;;; 2'894.98;restaurants
2018 February 6;Exchanged to BTC;100.00;;BTC  0.01525568;; 2'914.88;general
2018 February 6;Green Gorilla;16.90;;;; 3'014.88;restaurants
2018 February 6;Top-up via transfer;; 2'000.00;;; 3'031.78;general
2018 February 6;Pharmacie Principale *;14.10;;;; 1'031.78;health
2018 February 6;Brasserie De Rive;104.90;;;; 1'045.88;restaurants
2018 February 6;Le D?barcad?re;77.50;;;; 1'150.78;restaurants
2018 February 5;Angelika Chollet;37.00;;;; 1'228.28;shopping
2018 February 5;Coop Pronto Nyon;40.25;;;; 1'265.28;transport
2018 February 5;Saint James Lo Du Lac;130.00;;;; 1'305.53;shopping
2018 February 5;Easyjet;382.90;;;; 1'435.53;travel
2018 February 5;Easyjet;136.21;;;; 1'818.43;travel
2018 February 5;Easyjet;457.62;;;; 1'954.64;travel
2018 February 5;Restaurant Inglewood;149.00;;;; 2'412.26;restaurants
2018 February 5;Migros M Fusterie;12.50;;;; 2'561.26;groceries
2018 February 3;From Charlotte Tengelin;; 500.00;;; 2'573.76;transfers
2018 February 2;To Charlotte Tengelin;2'000.00;;;; 2'073.76;transfers
2018 February 2;From Adrien De Castro;; 31.00;;; 4'073.76;transfers
2018 February 2;From Matteo Vasirani;; 25.00;;; 4'042.76;transfers
2018 February 2;Top-up via transfer;; 4'000.00;;; 4'017.76;general
2018 February 2;Boucherie-espace Molar;16.50;;;; 17.76;groceries
2018 February 1;Grand Cafe Real Sa;38.00;;;; 34.26;restaurants
2018 January 31;Exchanged to BTC;100.00;;BTC  0.01031196;; 72.26;general
2018 January 31;Boucherie-espace Molar;16.50;;;; 172.26;groceries
2018 January 30;Mc Donald's;25.10;;;; 188.76;restaurants
2018 January 30;Globus Gastro Gen?ve;17.50;;;; 213.86;groceries
2018 January 30;Migros Mmm Nyon La Com;26.40;;;; 231.36;groceries
2018 January 29;Scalco Sa;111.20;;;; 257.76;groceries
2018 January 29;Restaurant Le Dahu Sa;90.60;;;; 368.96;restaurants
2018 January 29;Le Shed;145.00;;;; 459.56;restaurants
2018 January 29;Remont?es M?caniques L;48.00;;;; 604.56;transport
2018 January 29;Remont?es M?caniques L;10.00;;;; 652.56;transport
2018 January 29;Migrolino Martigny;2.90;;;; 662.56;groceries
2018 January 29;Pouly Sa 4569;8.50;;;; 665.46;groceries
2018 January 27;To Charlotte Tengelin;500.00;;;; 673.96;transfers
2018 January 26;To Adrien De Castro;14.00;;;; 1'173.96;transfers
2018 January 26;Coop Pronto Nyon;34.50;;;; 1'187.96;transport
2018 January 26;Taxi Lic 5476;31.17;;EUR 26.65;; 1'222.46;transport
2018 January 24;Exchanged to BTC;100.00;;BTC  0.00923437;; 1'253.63;general
2018 January 24;Hotel Arts;87.14;;EUR 74.00;; 1'353.63;travel
2018 January 24;3531 Food Market T5b;4.44;;SEK 37.00;; 1'440.77;restaurants
2018 January 24;News  Fine Food 3540;9.58;;SEK 79.90;; 1'445.21;restaurants
2018 January 23;From Svante Horn;; 1'051.00;;; 1'454.79;transfers
2018 January 23;Taxi Lic 183;31.80;;EUR 26.95;; 403.79;transport
2018 January 23;Riche;168.73;;SEK 1'400.00;; 435.59;restaurants
2018 January 22;Cash at Br Nyon;80.00;;;; 604.32;cash
2018 January 22;Walktrough Dep;26.41;;EUR 22.50;; 684.32;shopping
2018 January 22;Migros Mm Porte De Nyo;189.25;;;; 710.73;groceries
2018 January 22;Starbucks Coffe;10.70;;;; 899.98;restaurants
2018 January 22;Millenium Pro Design S;41.68;;EUR 35.50;; 910.68;shopping
2018 January 22;Leftbank;24.21;;RON 96.00;; 952.36;restaurants
2018 January 18;Grand Cafe Real Sa;64.50;;;; 976.57;restaurants
2018 January 18;Uber;7.94;;RON 31.30;; 1'041.07;transport
2018 January 17;Restaurant Mekong;23.00;;;; 1'049.01;restaurants
2018 January 17;Globus Gastro Gen?ve;23.50;;;; 1'072.01;groceries
2018 January 17;Exchanged to BTC;100.00;;BTC  0.00919793;; 1'095.51;general
2018 January 16;Quai 23 Sarl;20.00;;;; 1'195.51;restaurants
2018 January 16;Green Gorilla;16.90;;;; 1'215.51;restaurants
2018 January 16;Pouly Sa 4569;7.50;;;; 1'232.41;groceries
2018 January 15;Scalco Sa;95.20;;;; 1'239.91;groceries
2018 January 15;Coop Pronto Nyon;20.70;;;; 1'335.11;transport
2018 January 15;Rest. Olympique  Cuck;18.90;;;; 1'355.81;restaurants
2018 January 15;Ikea Sa Aubonne;24.80;;;; 1'374.71;utilities
2018 January 15;Coop-1281 Verbier;30.70;;;; 1'399.51;groceries
2018 January 15;T?l?verbier Sa;65.00;;;; 1'430.21;transport
2018 January 15;Green Gorilla;16.90;;;; 1'495.21;restaurants
2018 January 15;Globus Gen?ve;15.50;;;; 1'512.11;shopping
2018 January 15;Ikea Sa Aubonne;2.95;;;; 1'527.61;utilities
2018 January 15;Ikea Sa Aubonne;47.60;;;; 1'530.56;utilities
2018 January 12;Globus Gastro Gen?ve;15.90;;;; 1'578.16;groceries
2018 January 11;Grand Cafe Real Sa;46.30;;;; 1'594.06;restaurants
2018 January 10;Exchanged to BTC;100.00;;BTC  0.00721709;; 1'640.36;general
2018 January 10;Migros Mmm Nyon La Com;19.95;;;; 1'740.36;groceries
2018 January 10;Globus Gastro Gen?ve;13.00;;;; 1'760.31;groceries
2018 January 9;Starbucks Coffee;18.30;;;; 1'773.31;restaurants
2018 January 9;Ochsner Sport ;89.80;;;; 1'791.61;shopping
2018 January 9;Boucherie-espace Molar;16.50;;;; 1'881.41;groceries
2018 January 9;Le D?barcad?re;85.00;;;; 1'897.91;restaurants
2018 January 8;Restaurant Mekong;23.00;;;; 1'982.91;restaurants
2018 January 8;Sumup  *pb Pain Et Bri;20.40;;;; 2'005.91;restaurants
2018 January 8;Parking Villereuse;13.00;;;; 2'026.31;transport
2018 January 8;Green Gorilla;19.90;;;; 2'039.31;restaurants
2018 January 5;To Charlotte Tengelin;2'000.00;;;; 2'059.21;transfers
2018 January 5;Top-up via transfer;; 4'000.00;;; 4'059.21;general
2018 January 5;Globus Gastro Gen?ve;17.50;;;; 59.21;groceries
2018 January 5;Pouly Sa 4569;8.50;;;; 76.71;groceries
2018 January 4;Exchanged from SEK;; 73.24;;SEK 611.98; 85.21;general
2018 January 3;Parking Automate;2.11;;EUR 1.80;; 11.97;general
2018 January 2;Exchanged to BTC;100.00;;BTC  0.00684673;; 14.08;general
2018 January 2;Exchanged from SEK;; 100.00;;SEK 841.05; 114.08;general
2018 January 2;Villa D'este;163.85;;EUR 140.00;; 14.08;restaurants
2018 January 2;El Ganso;486.09;;EUR 415.00;; 177.93;shopping
2018 January 2;Indigo 060005;18.15;;EUR 15.50;; 664.02;transport
2018 January 2;Kooples Nice;298.47;;EUR 255.00;; 682.17;shopping
2018 January 2;Pharmacie Lauren;7.83;;EUR 6.70;; 980.64;health
2018 January 2;Autost P.le Francese;159.01;;EUR 135.80;; 988.47;transport
2017 December 29;From Charlotte Tengelin;; 107.88;;; 1'147.48;transfers
2017 December 29;Andro   Co;222.72;;EUR 190.50;; 1'039.60;restaurants
2017 December 29;Caffe' Caboto;51.82;;EUR 44.00;; 1'262.32;restaurants
2017 December 28;Nuova Sidap Srl 91 936;106.88;;EUR 90.82;; 1'314.14;transport
2017 December 28;Mondovi'      -savona;2.95;;EUR 2.50;; 1'421.02;transport
2017 December 28;Cie Mont Blanc;149.81;;EUR 127.00;; 1'423.97;entertainment
2017 December 28;Trattoria Delle Vigne;103.30;;EUR 88.00;; 1'573.78;restaurants
2017 December 28;Azienda Agricola Sylla;205.53;;EUR 175.00;; 1'677.08;groceries
2017 December 28;Autost Torino;3.17;;EUR 2.70;; 1'882.61;transport
2017 December 28;Autost Aosta -m.bianco;28.17;;EUR 24.00;; 1'885.78;transport
2017 December 27;Remco Srl          001;110.18;;EUR 93.60;; 1'913.95;services
2017 December 27;Eva Baz Art;34.21;;EUR 29.00;; 2'024.13;utilities
2017 December 27;O Champs Paysans;34.52;;EUR 29.25;; 2'058.34;general
2017 December 27;Aux Petits Gourmand;5.52;;EUR 4.70;; 2'092.86;groceries
2017 December 27;Cash at La Banque Postal;236.64;;EUR 200.00;; 2'098.38;cash
2017 December 27;Cap Horn;152.76;;EUR 129.50;; 2'335.02;restaurants
2017 December 27;Sa Payot Pertin;35.88;;EUR 30.41;; 2'487.78;groceries
2017 December 27;Snell Sports;671.19;;EUR 569.00;; 2'523.66;shopping
2017 December 27;Rest La Cabane;137.83;;EUR 116.80;; 3'194.85;restaurants
2017 December 27;Boulangerie Bonnin;5.50;;;; 3'332.68;groceries
2017 December 27;Mountain Store;161.52;;EUR 136.88;; 3'338.18;services
2017 December 27;Grand Cafe Real Sa;74.00;;;; 3'499.70;restaurants
2017 December 26;Exchanged to BTC;100.00;;BTC  0.00628036;; 3'573.70;general
2017 December 23;Top-up via transfer;; 2'000.00;;; 3'673.70;general
2017 December 22;Green Gorilla;19.90;;;; 1'673.70;restaurants
2017 December 22;From Charlotte Tengelin;; 1'000.00;;; 1'693.60;transfers
2017 December 22;Pharmacie-parf. Sunsto;32.00;;;; 693.60;health
2017 December 22;Pharmacie Principale *;12.95;;;; 725.60;health
2017 December 22;Pouly Sa 4569;1.50;;;; 738.55;groceries
2017 December 21;Manor Ag - 315;23.00;;;; 740.05;groceries
2017 December 21;Sushi Haiku Sa;26.00;;;; 763.05;restaurants
2017 December 20;To Adrien De Castro;5.00;;;; 789.05;transfers
2017 December 20;To Matteo Vasirani;9.00;;;; 794.05;transfers
2017 December 20;Globus Gastro Gen?ve;17.50;;;; 803.05;groceries
2017 December 19;Exchanged to BTC;100.00;;BTC  0.00562336;; 820.55;general
2017 December 19;Restaurant Mekong;23.00;;;; 920.55;restaurants
2017 December 19;Globus Gastro Gen?ve;23.50;;;; 943.55;groceries
2017 December 19;Fb Fundraiser;20.00;;;; 967.05;services
2017 December 18;La Veranda;13.50;;;; 987.05;restaurants
2017 December 18;Cin?ma Rex Path?;12.70;;;; 1'000.55;entertainment
2017 December 18;Quai 23 Sarl;20.00;;;; 1'013.25;restaurants
2017 December 18;Pharmacie Principale *;68.80;;;; 1'033.25;health
2017 December 15;Green Gorilla;16.90;;;; 1'102.05;restaurants
2017 December 15;Migros M Fusterie;10.00;;;; 1'118.95;groceries
2017 December 15;Parking Du Mont-blanc;14.00;;;; 1'128.95;services
2017 December 14;Grand Cafe Real Sa;38.00;;;; 1'142.95;restaurants
2017 December 14;Globus Gastro Gen?ve;7.00;;;; 1'180.95;groceries
2017 December 14;Globus Gastro Gen?ve;29.00;;;; 1'187.95;groceries
2017 December 13;Schweiz. Bundesbahn;4.50;;;; 1'216.95;transport
2017 December 13;Sumup  *non Sequitur G;16.00;;;; 1'221.45;groceries
2017 December 12;Exchanged to BTC;100.00;;BTC  0.00593758;; 1'237.45;general
2017 December 12;Restaurant Mekong;41.00;;;; 1'337.45;restaurants
2017 December 12;Boucherie-espace Molar;16.50;;;; 1'378.45;groceries
2017 December 12;Parking Villereuse;9.00;;;; 1'394.95;transport
2017 December 12;Pouly Sa 4569;1.50;;;; 1'403.95;groceries
2017 December 12;Brezelk?nig Ag;4.00;;;; 1'405.45;groceries
2017 December 11;Exchanged from GBP;; 8.01;;GBP 6.06; 1'409.45;general
2017 December 11;Rando Burger;33.90;;;; 1'401.44;restaurants
2017 December 11;Quai 23 Sarl;20.00;;;; 1'435.34;restaurants
2017 December 11;Socar Nyon;148.60;;;; 1'455.34;transport
2017 December 11;Le Panetier;11.00;;;; 1'603.94;groceries
2017 December 11;Migros Fm Nyon;178.20;;;; 1'614.94;shopping
2017 December 11;Migros Mm Porte De Nyo;79.55;;;; 1'793.14;groceries
2017 December 11;Mc Donald's;3.70;;;; 1'872.69;restaurants
2017 December 11;Mc Donald's;15.80;;;; 1'876.39;restaurants
2017 December 11;Green Gorilla;19.90;;;; 1'892.19;restaurants
2017 December 11;Manor Ag - 315;33.35;;;; 1'912.09;groceries
2017 December 11;Manor Ag - 315;6.20;;;; 1'945.44;shopping
2017 December 11;Cafe Des Arts;62.50;;;; 1'951.64;restaurants
2017 December 10;Exchanged to BTC;20.00;;BTC  0.00153561;; 2'014.14;general
2017 December 9;To Charlotte Tengelin;2'000.00;;;; 2'034.14;transfers
2017 December 8;British Airways Tourve;13.94;;GBP 10.45;; 4'034.14;groceries
2017 December 8;Green Gorilla;16.90;;;; 4'048.08;restaurants
2017 December 8;Manor Ag - 315;25.35;;;; 4'064.98;groceries
2017 December 7;Top-up via transfer;; 3'000.00;;; 4'090.33;general
2017 December 6;To Adrien De Castro;10.00;;;; 1'090.33;transfers
2017 December 6;London Overground Sst;12.96;;GBP 9.80;; 1'100.33;transport
2017 December 6;Coop-2113 Ge City Rest;15.25;;;; 1'113.29;groceries
2017 December 5;Coop-1919 Ge City Food;5.90;;;; 1'128.54;groceries
2017 December 5;Coop-2201 Ge City Nf;27.95;;;; 1'134.44;groceries
2017 December 5;Globus Gastro Gen?ve;17.50;;;; 1'162.39;groceries
2017 December 5;Heathrow Express;29.10;;GBP 22.00;; 1'179.89;transport
2017 December 4;Pret A Manger;9.23;;GBP 6.97;; 1'208.99;restaurants
2017 December 4;Dixons Travel;81.89;;GBP 61.92;; 1'218.22;shopping
2017 December 4;Boots;13.15;;GBP 9.94;; 1'300.11;health
2017 December 4;Itsu;26.99;;GBP 20.41;; 1'313.26;restaurants
2017 December 4;Cash at Changegroup Spitalfie;132.31;;GBP 100.00;; 1'340.25;cash
2017 December 4;Barrow Boy  Barker;66.16;;GBP 50.00;; 1'472.56;restaurants
2017 December 4;St John;78.99;;GBP 60.00;; 1'538.72;restaurants
2017 December 4;The Hoxton Seven;70.79;;GBP 53.50;; 1'617.71;restaurants
2017 December 4;Le Cellier;17.80;;;; 1'688.50;restaurants
2017 December 4;Path? Rex;22.50;;;; 1'706.30;entertainment
2017 December 4;Path? Rex;90.00;;;; 1'728.80;entertainment
2017 December 4;Relay Nyon Cff;2.50;;;; 1'818.80;shopping
2017 December 2;To Charlotte Tengelin;5.95;;;; 1'821.30;transfers
2017 December 1;Restaurant Mekong;46.00;;;; 1'827.25;restaurants
2017 December 1;Green Gorilla;19.90;;;; 1'873.25;restaurants
2017 December 1;Migros Mmm Nyon La Com;48.55;;;; 1'893.15;groceries
2017 November 30;Grand Cafe Real Sa;58.30;;;; 1'941.70;restaurants
2017 November 30;Top-up via transfer;; 1'505.43;;; 2'000.00;general
2017 November 29;Migros Mmm Nyon La Com;42.45;;;; 494.57;groceries
2017 November 29;Kiosk Goodie Cornavin;6.90;;;; 537.02;restaurants
2017 November 28;No 1 Ski Rental;80.00;;;; 543.92;shopping
2017 November 27;Rest. Olympique  Cuck;15.70;;;; 623.92;restaurants
2017 November 27;Rest. Olympique  Cuck;9.00;;;; 639.62;restaurants
2017 November 27;T?l?verbier Sa;56.00;;;; 648.62;transport
2017 November 27;T?l?verbier Sa;56.00;;;; 704.62;transport
2017 November 27;Brasserie Le Bec;3.70;;;; 760.62;restaurants
2017 November 27;Brasserie Le Bec;85.20;;;; 764.32;restaurants
2017 November 27;Coop-1281 Verbier;2.55;;;; 849.52;groceries
2017 November 27;Green Gorilla;21.90;;;; 852.07;restaurants
2017 November 27;Schweiz. Bundesbahn;4.50;;;; 873.97;transport
2017 November 24;Pharmacie Principale *;43.80;;;; 878.47;health
2017 November 24;Bokus;25.74;;SEK 219.00;; 922.27;entertainment
2017 November 23;To Adrien De Castro;1.00;;;; 948.01;transfers
2017 November 23;To Matteo Vasirani;10.00;;;; 949.01;transfers
2017 November 23;Exchanged to GBP;76.74;;GBP  58.85;; 959.01;general
2017 November 23;Top-up via transfer;; 1'000.00;;; 1'035.75;general
2017 November 22;Migros M Fusterie;10.00;;;; 35.75;groceries
2017 November 21;To Charlotte Tengelin;1.00;;;; 45.75;transfers
2017 November 21;To Matteo Vasirani;1.00;;;; 46.75;transfers
2017 November 21;Exchanged from EUR;; 25.24;;EUR 21.68; 47.75;general
2017 November 20;Exchanged from EUR;; 20.00;;EUR 17.17; 22.51;general
2017 November 16;Exchanged to GBP;10.49;;GBP  7.99;; 2.51;general
2017 November 14;Extra Revolut Card;7.00;;;; 13.00;general
2017 November 9;Top-Up by *4748;; 20.00;;; 20.00;general
